feedback_id,customer_id,rating,feedback_text,feedback_date
FBK5071,CUST1039,3,Nothing special.,2023-04-30
FBK5072,CUST1036,5,Quick fund transfers!,2023-03-02
FBK5073,CUST1065,1,Unexpected transaction failures!,2023-08-18
FBK5074,CUST1018,4,Highly satisfied!,2023-04-06
FBK5075,CUST1041,5,Great customer relationship!,2023-06-24
FBK5076,CUST1000,2,Security concerns!,2023-10-19
FBK5077,CUST1099,3,Mixed experience with customer service.,2023-09-25
FBK5078,CUST1049,1,Loan approval process too slow!,2023-06-28
FBK5079,CUST1029,3,"Normal experience, nothing extraordinary.",2023-02-05
FBK5080,CUST1036,4,Fast & secure services!,2023-03-15
FBK5081,CUST1091,4,Smooth transactions!,2023-08-27
FBK5082,CUST1046,2,Very dissatisfied!,2023-07-31
FBK5083,CUST1024,4,Quick fund transfers!,2023-06-06
FBK5084,CUST1019,4,Very helpful customer support.,2023-09-14
FBK5085,CUST1032,4,Great customer relationship!,2023-04-01
FBK5086,CUST1018,1,Unexpected charges!,2023-04-15
FBK5087,CUST1038,5,Fantastic mobile app!,2023-01-21
FBK5088,CUST1068,4,Great banking experience!,2023-03-27
FBK5089,CUST1036,3,Could be better.,2023-03-11
FBK5090,CUST1086,3,"Transactions work, but interface is outdated.",2023-04-02
FBK5091,CUST1040,5,Very responsive support team!,2023-06-02
FBK5092,CUST1039,4,Super easy to use!,2023-04-23
FBK5093,CUST1026,2,Very slow processing!,2023-04-06
FBK5094,CUST1088,4,Fast & secure services!,2023-02-22
FBK5095,CUST1099,4,Amazing loan process!,2023-10-07
FBK5096,CUST1035,2,Unreliable transaction processing!,2023-07-11
FBK5097,CUST1063,3,No major issues but room for improvement.,2023-03-05
FBK5098,CUST1038,3,Could be better.,2023-01-11
FBK5099,CUST1003,5,Amazing loan process!,2023-04-29
